protein_ref,symbol,annotation,number_of_ubiquitination_sites,4x_Btz_rep1-4 Sp. Counts,Btz_Epox Sp. Counts,Usp2cc Sp. Counts,Btz_timepoints Sp. Counts,Btz_CHX Sp. Counts,SILAC_Chase_GG Sp. Counts,MLN_timepoints Sp. Counts,Btz_MLN_1st Sp. Counts,Btz_MLN_2nd Sp. Counts,CST_GG_PullDowns Sp. Counts
IPI:IPI00924713.1,PCYT1A,"cDNA, FLJ93994, highly similar to Homo sapiens phosphate cytidylyltransferase 1, choline, alpha isoform (PCYT1A), mRNA",4,9,12,0,0,11,6,0,10,15,0
IPI:IPI00924714.1,PRKAR2A,Protein,1,12,13,1,2,7,0,0,10,1,0
IPI:IPI00924720.1,VAMP8,9 kDa protein,3,10,22,4,7,20,7,33,18,3,1
IPI:IPI00924722.1,PMPCB,22 kDa protein,1,0,0,0,0,4,0,0,1,0,0
IPI:IPI00924735.1,NRCAM,NRCAM protein,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00924737.1,RFC4,10 kDa protein,2,1,1,0,0,1,0,0,3,0,0
IPI:IPI00924738.1,HACL1,17 kDa protein,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00924749.1,OGT,Protein,4,80,47,8,82,43,33,49,38,26,10
IPI:IPI00924757.1,RNF123,82 kDa protein,5,12,10,2,0,9,0,6,10,0,0
IPI:IPI00924758.1,GNB2,"cDNA FLJ32188 fis, clone PLACE6002056, highly similar to Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta 2",2,0,0,0,0,0,0,0,0,0,17
IPI:IPI00924762.1,PEX1,"cDNA FLJ50168, highly similar to Peroxisome biogenesis factor 1",1,0,0,0,0,0,0,0,1,0,0
IPI:IPI00924769.1,WBSCR22,34 kDa protein,2,70,56,0,68,58,27,81,59,8,2
IPI:IPI00924772.1,POMZP3,28 kDa protein,1,17,11,0,4,12,0,13,13,6,0
IPI:IPI00924778.1,ECT2,Epithelial cell transforming sequence 2 oncogene protein splice variant b,4,3,0,0,0,23,9,0,10,4,0
IPI:IPI00924787.1,MYD88,35 kDa protein,1,0,0,0,0,3,0,0,0,0,0
IPI:IPI00924790.1,DIABLO,Protein,2,2,0,0,0,0,0,0,0,3,3
IPI:IPI00924791.1,COPS6,36 kDa protein,6,47,42,5,2,30,5,6,33,20,7
IPI:IPI00924798.1,GLB1,12 kDa protein,1,1,0,1,0,0,0,0,0,0,0
IPI:IPI00924801.1,LANCL1,9 kDa protein,1,7,4,0,1,5,2,2,8,0,0
IPI:IPI00924809.1,PRPSAP1,"cDNA FLJ57408, highly similar to Phosphoribosyl pyrophosphatesynthetase-associated protein 1",2,0,1,0,0,0,0,0,1,0,0
IPI:IPI00924813.1,RPL37A,7 kDa protein,1,2,0,1,0,0,0,0,0,0,6
IPI:IPI00924816.1,MTPN,Myotrophin,2,0,0,0,1,0,3,4,4,0,0
IPI:IPI00924821.1,USP19,Ubiquitin carboxyl-terminal hydrolase,3,4,1,1,1,6,3,15,8,5,0
IPI:IPI00924825.1,ATP13A3,70 kDa protein,2,5,2,0,2,2,0,0,2,2,0
IPI:IPI00924828.1,EIF4G1,172 kDa protein,4,1,0,0,2,1,3,0,0,0,0
IPI:IPI00924845.1,NSUN5B,14 kDa protein,1,0,0,0,0,0,0,0,1,0,0
IPI:IPI00924866.1,NOP58,21 kDa protein,1,1,0,1,0,4,0,0,4,8,1
IPI:IPI00924867.1,NCBP2,10 kDa protein,1,0,0,0,0,2,2,0,0,0,0
IPI:IPI00924868.1,GNAI1,Putative uncharacterized protein GNAI1 (Fragment),1,13,13,1,4,6,3,4,5,0,0
IPI:IPI00924873.1,DBNL,9 kDa protein,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00924885.1,FAM136A,12 kDa protein,1,0,0,0,0,0,0,0,0,0,5
IPI:IPI00924895.1,SNRPG,SNRPG protein,1,0,0,0,0,0,0,15,4,0,0
IPI:IPI00924899.1,CTDSP1,Protein,1,1,0,0,1,0,4,0,0,0,0
IPI:IPI00924905.1,HACL1,26 kDa protein,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00924906.1,ASNS,55 kDa protein,16,288,203,27,107,190,24,36,180,119,4
IPI:IPI00924917.1,-,"cDNA FLJ46392 fis, clone THYMU3002825, highly similar to Endoplasmic reticulummannosyl-oligosaccharide 1,2-alpha-mannosidase",2,21,16,5,10,12,1,0,11,3,0
IPI:IPI00924919.1,SUMF2,Putative uncharacterized protein DKFZP566I1024,2,18,19,0,4,8,0,0,9,0,0
IPI:IPI00924920.1,PNPLA8,72 kDa protein,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00924925.1,TP53,tumor protein p53 isoform d,2,3,0,0,3,1,0,0,2,0,0
IPI:IPI00924927.1,YKT6,3 kDa protein,1,0,0,0,0,0,2,2,2,0,0
IPI:IPI00924929.1,SMARCAL1,88 kDa protein,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00924935.1,TFRC,"cDNA FLJ57106, highly similar to Transferrin receptor protein 1",9,29,64,1,2,40,3,0,42,1,0
IPI:IPI00924937.1,POMZP3,17 kDa protein,1,17,11,0,4,12,0,13,13,6,0
IPI:IPI00924940.1,SLC4A7,35 kDa protein,6,12,5,1,11,53,3,120,39,0,0
IPI:IPI00924945.1,SLC12A4,"solute carrier family 12, member 4 isoform c",5,23,19,4,27,5,1,10,25,28,0
IPI:IPI00924956.1,PEX1,Pex1pR633Ter,1,0,0,0,0,0,0,0,1,0,0
IPI:IPI00924982.1,PCYT1A,13 kDa protein,2,6,9,0,0,5,3,0,5,9,0
IPI:IPI00924991.1,XPC,"xeroderma pigmentosum, complementation group C isoform 2",2,9,9,1,0,11,11,0,6,2,0
IPI:IPI00924993.1,C7orf44,10 kDa protein,1,1,0,1,0,1,0,0,0,0,0
IPI:IPI00924996.1,PDCD6IP,11 kDa protein,1,0,0,0,0,0,0,0,0,0,1
IPI:IPI00924999.1,IMPDH2,31 kDa protein,6,137,111,16,127,190,30,197,151,41,0
IPI:IPI00925000.1,IDH1,Putative uncharacterized protein DKFZp686M0959,2,5,2,0,2,0,0,0,1,3,0
IPI:IPI00925012.1,QARS,34 kDa protein,2,5,0,0,0,0,0,0,0,0,0
IPI:IPI00925016.1,APEH,32 kDa protein,4,44,31,4,10,17,4,0,33,9,0
IPI:IPI00925023.1,NDUFS1,"cDNA FLJ54000, highly similar to NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",3,5,2,0,0,5,1,0,1,0,0
IPI:IPI00925025.1,PRPSAP1,25 kDa protein,2,0,1,0,0,0,0,0,1,0,0
IPI:IPI00925033.1,ARPC1B,15 kDa protein,1,2,2,1,0,5,2,0,5,0,0
IPI:IPI00925034.1,TRRAP,436 kDa protein,11,38,38,5,7,45,7,0,29,18,0
IPI:IPI00925037.1,DDX56,57 kDa protein,2,5,2,0,0,2,0,0,2,0,0
IPI:IPI00925046.1,QARS,Glutaminyl-tRNA synthetase,9,49,26,5,10,24,17,2,30,18,0
IPI:IPI00925048.1,MON1A,Isoform 2 of Vacuolar fusion protein MON1 homolog A,1,3,6,1,0,4,4,0,3,2,0
IPI:IPI00925052.1,TTLL3,22 kDa protein,1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00925053.1,BUD31,12 kDa protein,1,0,0,0,1,7,0,6,0,0,0
IPI:IPI00925055.1,ATP13A3,Protein,3,83,51,7,20,33,14,9,40,4,0
IPI:IPI00925056.1,MYD88,"cDNA FLJ54306, highly similar to Myeloid differentiation primary response protein MyD88",1,0,0,0,0,3,0,0,0,0,0
IPI:IPI00925057.1,EIF4G1,89 kDa protein,1,1,0,0,0,0,2,0,0,0,0
IPI:IPI00925058.1,RPL15,16 kDa protein,2,11,0,2,0,16,0,0,3,8,2
IPI:IPI00925062.1,PIGX,17 kDa protein,1,12,16,0,21,12,0,0,11,43,0
IPI:IPI00925069.1,STARD3NL,25 kDa protein,1,0,0,0,0,0,0,7,0,0,0
IPI:IPI00925071.1,NUP205,24 kDa protein,2,42,30,0,13,16,17,6,17,11,0
IPI:IPI00925072.1,AP2M1,29 kDa protein,4,12,0,0,15,7,1,4,2,0,0
IPI:IPI00925074.1,BCS1L,Protein,1,5,2,0,2,5,5,0,1,0,0
IPI:IPI00925083.1,CTNNB1,17 kDa protein,1,1,2,0,0,1,0,0,1,9,0
IPI:IPI00925085.1,EIF2B5,"Eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa variant",1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00925091.1,USP4,54 kDa protein,1,0,0,4,0,0,0,0,0,1,0
IPI:IPI00925098.1,DBNL,"cDNA FLJ59450, highly similar to Drebrin-like protein",2,0,0,0,2,0,1,0,0,0,0
IPI:IPI00925106.1,SUMF2,11 kDa protein,1,6,13,0,1,5,0,0,6,0,0
IPI:IPI00925162.1,TFRC,9 kDa protein,3,78,82,4,43,54,22,131,77,41,0
IPI:IPI00925180.1,PCYT1A,16 kDa protein,2,6,9,0,0,5,3,0,5,9,0
IPI:IPI00925196.1,IMPDH2,Protein,12,241,202,28,191,299,60,253,231,59,10
IPI:IPI00925198.1,TBL1XR1,15 kDa protein,1,42,26,2,23,31,6,18,28,22,0
IPI:IPI00925203.1,QARS,29 kDa protein,4,33,23,5,8,23,16,2,26,18,0
IPI:IPI00925205.1,SH3GLB2,Putative uncharacterized protein SH3GLB2,3,9,9,0,0,5,3,0,4,1,3
IPI:IPI00925213.1,MTX2,24 kDa protein,2,5,0,0,0,0,0,0,0,0,0
IPI:IPI00925227.1,RFC4,10 kDa protein,2,1,1,0,0,1,0,0,3,0,0
IPI:IPI00925232.1,NRCAM,48 kDa protein,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00925237.1,NCAPH,"cDNA FLJ60336, highly similar to Condensin complex subunit 2",3,0,0,0,0,1,0,3,0,0,4
IPI:IPI00925242.1,HUS1,Protein,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00925259.1,NUP205,25 kDa protein,2,42,30,0,13,16,17,6,17,11,0
IPI:IPI00925263.1,EIF4G1,Protein,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00925278.1,PIGX,20 kDa protein,1,12,16,0,21,12,0,0,11,43,0
IPI:IPI00925288.1,PFKL,"Isoform 2 of 6-phosphofructokinase, liver type",4,10,6,0,9,16,0,0,3,6,0
IPI:IPI00925291.1,CYP51A1,"cDNA FLJ34004 fis, clone FCBBF1000232, highly similar to Cytochrome P450 51A1",14,173,88,25,134,133,36,122,113,79,32
IPI:IPI00925296.1,PLCXD1,28 kDa protein,1,10,0,0,3,0,0,0,0,0,0
IPI:IPI00925297.1,BCL2L13,"cDNA FLJ55839, highly similar to Bcl-2-like 13 protein",1,0,0,0,0,0,8,0,0,0,0
IPI:IPI00925298.1,ASNS,24 kDa protein,4,35,37,6,2,33,0,0,24,4,0
IPI:IPI00925306.1,RFC5,replication factor C 5 isoform 2,4,45,46,9,8,32,2,0,45,10,0
IPI:IPI00925310.1,GNAI1,16 kDa protein,1,24,24,0,11,10,5,11,17,0,0
IPI:IPI00925312.1,PCYT1A,34 kDa protein,4,9,12,0,0,11,6,0,10,15,0
IPI:IPI00925314.1,WBSCR22,Protein,2,70,56,0,68,58,27,81,59,8,2
IPI:IPI00925317.1,RCC1,29 kDa protein,2,0,0,0,0,5,0,0,0,0,0
IPI:IPI00925323.1,RPL14,60S ribosomal protein L14,4,12,3,0,0,6,4,0,5,0,0
IPI:IPI00925327.1,PRKAR2A,Protein,2,3,1,2,0,1,0,0,3,4,0
IPI:IPI00925334.1,TTLL3,21 kDa protein,1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00925339.1,DDX56,Protein,2,5,2,0,0,2,0,0,2,0,0
IPI:IPI00925351.1,ABCF2,27 kDa protein,2,4,1,0,0,3,0,2,1,0,0
IPI:IPI00925352.1,CAND2,12 kDa protein,1,6,7,0,0,3,5,0,3,0,0
IPI:IPI00925355.1,PLCD1,56 kDa protein,1,0,0,0,0,0,0,2,0,0,0
IPI:IPI00925356.1,RHBDD2,NPD007,1,16,13,0,12,11,7,0,10,12,6
IPI:IPI00925357.1,CTDSP1,Protein,1,1,0,0,1,0,4,0,0,0,0
IPI:IPI00925368.1,UBE2E1,17 kDa protein,1,0,0,0,0,0,0,1,0,0,7
IPI:IPI00925369.1,OSBPL10,20 kDa protein,1,3,7,1,0,1,0,18,11,0,0
IPI:IPI00925370.1,SLC6A6,Transporter,4,150,139,8,121,152,51,299,163,16,0
IPI:IPI00925380.1,NBEAL2,12 kDa protein,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00925384.1,TFRC,14 kDa protein,1,2,1,0,0,1,0,0,1,0,0
IPI:IPI00925389.1,POM121C,17 kDa protein,1,17,11,0,4,12,0,13,13,6,0
IPI:IPI00925397.1,RFC4,18 kDa protein,2,1,1,0,0,1,0,0,3,0,0
IPI:IPI00925403.1,AP2M1,18 kDa protein,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00925411.1,PPIA,13 kDa protein,4,60,51,0,38,60,12,76,61,36,15
IPI:IPI00925413.1,EIF4G1,EIF4G1 protein,4,1,0,0,2,1,3,0,0,0,0
IPI:IPI00925425.1,CTNNB1,7 kDa protein,1,1,2,0,0,1,0,0,1,9,0
IPI:IPI00925434.1,EIF4G1,93 kDa protein,2,1,0,0,2,0,2,0,0,0,0
IPI:IPI00925437.1,PSMD2,Protein,2,50,33,5,10,33,6,7,28,19,6
IPI:IPI00925442.1,STYXL1,32 kDa protein,3,3,2,0,0,2,0,0,2,10,0
IPI:IPI00925446.1,SRCAP,SRCAP protein,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00925451.1,HLA-A,"Major histocompatibility complex, class I, A",10,196,120,43,81,124,52,13,134,113,56
IPI:IPI00925457.1,PRPSAP1,12 kDa protein,1,2,2,0,0,2,0,0,3,0,0
IPI:IPI00925474.1,CPNE9,Putative uncharacterized protein CPNE9,1,0,0,0,0,0,2,0,0,0,0
IPI:IPI00925477.1,TOP2B,Topoisomerase II beta,24,112,122,27,41,128,5,121,142,29,0
IPI:IPI00925496.1,OSBPL10,Oxysterol-binding protein (Fragment),2,8,11,1,0,4,1,18,14,0,0
IPI:IPI00925500.1,BUD31,4 kDa protein,1,0,0,0,1,7,0,6,0,0,0
IPI:IPI00925504.1,GNAI2,"cDNA FLJ39276 fis, clone OCBBF2010843, highly similar to Guanine nucleotide-binding protein G(i), alpha-2 subunit",4,13,0,0,12,4,0,0,0,0,0
IPI:IPI00925506.1,DBNL,6 kDa protein,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00925510.1,ANO10,72 kDa protein,1,9,7,1,3,5,2,0,3,0,0
IPI:IPI00925511.1,QARS,"cDNA FLJ54314, highly similar to Glutaminyl-tRNA synthetase",9,49,26,5,10,24,17,2,30,18,0
IPI:IPI00925514.1,RBM38,25 kDa protein,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00925520.1,PFKL,"6-phosphofructokinase, liver type (EC 2.7.1.11) (Phosphofructokinase 1) (Phosphohexokinase) (Phosphofructo-1-kinase isozyme B) (PFK-B). Isoform 2",4,10,6,0,9,16,0,0,3,6,0
IPI:IPI00925525.1,SNRPG,11 kDa protein,1,0,0,0,0,0,0,15,4,0,0
IPI:IPI00925530.1,GNB2,32 kDa protein,3,0,0,0,0,0,0,0,0,0,18
IPI:IPI00925531.1,GNAI1,35 kDa protein,3,27,24,0,11,10,5,11,17,0,0
IPI:IPI00925535.1,PCYT1A,15 kDa protein,2,6,9,0,0,5,3,0,5,9,0
IPI:IPI00925538.1,TRO,34 kDa protein,1,0,0,0,0,0,1,0,0,0,6
IPI:IPI00925544.1,HDAC11,histone deacetylase 11 isoform 2,1,0,1,0,0,0,0,0,0,0,0
IPI:IPI00925546.1,ABCF3,74 kDa protein,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00925553.1,IMMT,Protein,4,4,0,3,0,2,3,0,2,0,6
IPI:IPI00925558.1,CNOT10,"cDNA FLJ60672, highly similar to Homo sapiens CCR4-NOT transcription complex, subunit 10 (CNOT10), mRNA",2,0,0,0,0,4,0,0,1,0,0
IPI:IPI00925562.1,CDK3,38 kDa protein,1,4,1,0,0,1,0,0,1,0,0
IPI:IPI00925569.1,MAP4,12 kDa protein,1,0,0,0,0,0,2,0,0,0,0
IPI:IPI00925570.1,RCC1,Protein,2,0,0,0,0,5,0,0,0,0,0
IPI:IPI00925571.1,LMTK2,Lemur tyrosine kinase 2,1,8,3,2,4,2,4,0,1,7,0
IPI:IPI00925572.1,ASNS,"cDNA FLJ51387, highly similar to Asparagine synthetase",17,296,205,31,108,191,24,36,181,120,4
IPI:IPI00925575.1,RAD18,Protein,2,43,39,2,16,38,12,0,24,28,0
IPI:IPI00925580.1,RPS9,18 kDa protein,5,12,3,0,5,11,6,3,6,6,2
IPI:IPI00925582.1,PNPLA8,77 kDa protein,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00925594.1,-,55 kDa protein,1,0,1,0,0,0,0,0,0,0,0
IPI:IPI00925595.1,PSMD2,Protein,3,32,7,0,9,29,8,57,30,5,0
IPI:IPI00925601.1,ATIC,"5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase, isoform CRA_g",6,10,8,0,0,4,6,0,6,0,1
IPI:IPI00925615.1,GLB1,Beta-galactosidase (Fragment),1,1,0,1,0,0,0,0,0,0,0
IPI:IPI00925623.1,NFE2L2,30 kDa protein,2,20,25,1,3,13,3,0,11,0,0
IPI:IPI00925651.1,POLD2,9 kDa protein,1,6,0,0,1,0,0,0,0,2,0
IPI:IPI00925655.1,NBEAL2,"cDNA FLJ50251, highly similar to Neurobeachin-like 1",2,5,0,0,0,0,0,0,0,4,0
IPI:IPI00925657.1,DNAJB6,15 kDa protein,2,8,4,0,4,1,3,7,5,0,0
IPI:IPI00925669.1,CLASP1,MAST1,1,0,0,0,0,0,2,0,0,0,0
IPI:IPI00925674.1,-,176 kDa protein,3,47,33,0,14,21,19,6,22,11,0
IPI:IPI00925690.1,-,22 kDa protein,2,0,2,0,0,6,0,0,0,0,0
IPI:IPI00925691.1,GNAI2,"cDNA FLJ61190, highly similar to Guanine nucleotide-binding protein G(i), alpha-2 subunit",4,13,0,0,12,4,0,0,0,0,0
IPI:IPI00925695.1,IP6K2,12 kDa protein,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00925701.1,DONSON,57 kDa protein,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00925702.1,-,"cDNA FLJ59523, highly similar to Scaffold attachment factor B",2,0,0,0,6,0,3,1,0,0,0
IPI:IPI00925704.1,PRPSAP1,18 kDa protein,1,0,0,0,0,0,0,0,1,0,0
IPI:IPI00925711.1,DNAJB2,14 kDa protein,3,0,0,0,2,0,0,0,2,0,1
IPI:IPI00925713.1,RPL10,Ribosomal protein L10 (Fragment),6,35,30,8,32,31,28,10,22,16,48
IPI:IPI00925719.1,AMDHD2,amidohydrolase domain containing 2 isoform 2,1,5,3,0,1,2,0,0,2,1,0
IPI:IPI00925726.1,BCS1L,Protein,1,5,2,0,2,5,5,0,1,0,0
IPI:IPI00925729.1,ANO10,Protein,1,2,7,0,0,5,2,0,1,0,0
IPI:IPI00925735.1,QARS,11 kDa protein,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00925737.1,PSPH,21 kDa protein,1,2,1,0,0,0,0,0,0,0,0
IPI:IPI00925745.1,APEH,17 kDa protein,2,13,10,1,2,5,1,0,8,0,0
IPI:IPI00925747.1,PPIA,13 kDa protein,4,60,51,0,38,60,12,76,61,36,15
IPI:IPI00925750.1,AP2M1,11 kDa protein,1,7,8,0,5,21,4,19,13,0,0
IPI:IPI00925754.1,USP37,Ubiquitin carboxyl-terminal hydrolase,3,12,18,0,1,18,7,0,9,9,0
IPI:IPI00925756.1,TMEM169,13 kDa protein,2,2,0,0,0,0,0,0,0,0,0
IPI:IPI00925767.1,FANCD2,16 kDa protein,3,5,5,1,0,13,3,0,7,1,0
IPI:IPI00925779.1,HUS1,21 kDa protein,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00925785.1,ALG3,Protein,2,0,1,0,0,0,0,0,0,0,4
IPI:IPI00925787.1,POLD2,50 kDa protein,4,48,35,6,10,22,3,0,27,7,0
IPI:IPI00925788.1,DIP2A,disco-interacting protein 2A isoform e,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00925791.1,RCC1,30 kDa protein,2,0,0,0,0,5,0,0,0,0,0
IPI:IPI00925798.1,PCYT1A,24 kDa protein,2,6,9,0,0,5,3,0,5,9,0
IPI:IPI00925802.1,HACL1,"cDNA FLJ54118, highly similar to 2-hydroxyphytanoyl-CoA lyase",3,5,4,0,0,2,3,0,2,0,0
IPI:IPI00925804.1,AIP,Non-functional aryl hydrocarbon receptor interacting protein (Fragment),1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00925813.1,PSMD2,7 kDa protein,3,242,205,12,119,270,160,306,186,47,0
IPI:IPI00925821.1,CLCN2,"cDNA FLJ53418, highly similar to Chloride channel protein 2",1,5,11,0,0,5,2,0,5,0,0
IPI:IPI00925829.1,GLB1,9 kDa protein,1,1,0,1,0,0,0,0,0,0,0
IPI:IPI00925830.1,HACL1,15 kDa protein,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00925841.1,CDK3,28 kDa protein,1,4,1,0,0,1,0,0,1,0,0
IPI:IPI00925852.1,TRIM24,50 kDa protein,1,0,0,0,0,0,0,0,1,0,0
IPI:IPI00925853.1,NDUFS1,"cDNA FLJ60586, highly similar to NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",3,5,2,0,0,5,1,0,1,0,0
IPI:IPI00925863.1,DNAJB6,11 kDa protein,2,8,4,0,4,1,3,7,5,0,0
IPI:IPI00925864.1,IDH1,16 kDa protein,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00925871.1,ATIC,19 kDa protein,1,0,0,0,0,0,0,0,1,0,1
IPI:IPI00925878.1,DDR1,Isoform 3 of Epithelial discoidin domain-containing receptor 1,2,50,29,7,37,27,7,0,46,26,0
IPI:IPI00925883.1,SH3BP5,15 kDa protein,2,2,0,0,0,0,0,0,0,0,3
IPI:IPI00925884.1,LANCL1,LANCL1 protein (Fragment),3,7,6,0,1,6,2,16,16,0,0
IPI:IPI00925913.1,ARMC10,25 kDa protein,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00925919.1,SLC4A10,119 kDa protein,1,13,5,0,2,1,0,0,7,0,0
IPI:IPI00925923.1,FAM3C,12 kDa protein,1,9,19,0,0,8,0,0,8,0,0
IPI:IPI00925924.1,FAM38A,Protein FAM38A,7,48,26,3,24,28,8,3,33,4,1
IPI:IPI00925926.1,DBNL,15 kDa protein,1,0,0,0,2,0,0,0,0,0,0
IPI:IPI00925932.1,IP6K2,11 kDa protein,1,0,0,0,0,1,0,0,0,0,0
IPI:IPI00925945.1,RFC4,37 kDa protein,3,1,2,0,0,1,0,0,3,0,0
IPI:IPI00925952.1,QARS,"cDNA FLJ54453, highly similar to Glutaminyl-tRNA synthetase",9,49,26,5,10,24,17,2,30,18,0
IPI:IPI00925955.1,FADS1,5 kDa protein,1,7,16,10,9,14,0,0,17,10,1
IPI:IPI00925958.1,C3orf75,9 kDa protein,3,14,9,1,4,5,2,0,7,3,0
IPI:IPI00925974.1,HIP1,17 kDa protein,2,1,0,0,0,0,0,1,0,0,0
IPI:IPI00925987.1,ITCH,"cDNA FLJ54369, highly similar to Itchy homolog E3 ubiquitin protein ligase",5,419,278,4,334,336,158,440,352,161,5
IPI:IPI00925989.1,MCM7,21 kDa protein,4,77,80,0,29,90,12,45,77,33,9
IPI:IPI00925990.1,DDX56,20 kDa protein,2,5,2,0,0,2,0,0,2,0,0
IPI:IPI00925995.1,AZI2,5-azacytidine induced 2 isoform b,1,15,3,0,5,5,0,0,2,0,0
IPI:IPI00926005.1,MON1A,63 kDa protein,1,3,6,1,0,4,4,0,3,2,0
IPI:IPI00926006.1,PCYT1A,10 kDa protein,1,4,6,0,0,4,2,0,4,4,0
IPI:IPI00926013.1,EIF4G1,98 kDa protein,3,1,0,0,2,0,3,0,0,0,0
IPI:IPI00926020.1,MST1R,149 kDa protein,1,32,30,1,11,21,0,1,20,9,0
IPI:IPI00926023.1,CTDSP1,Protein,1,1,0,0,1,0,4,0,0,0,0
IPI:IPI00926032.1,VPRBP,120 kDa protein,4,5,0,0,0,0,0,0,0,0,0
IPI:IPI00926039.1,ALG3,Protein,1,0,0,0,0,0,0,0,0,0,4
IPI:IPI00926044.1,C21orf59,Protein,2,2,1,0,0,3,2,0,0,1,0
IPI:IPI00926054.1,TTLL3,Protein,1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00926055.1,IDH1,20 kDa protein,2,5,2,0,2,0,0,0,1,3,0
IPI:IPI00926059.1,SLC6A6,12 kDa protein,4,150,139,8,121,152,51,299,163,16,0
IPI:IPI00926062.1,PLXNB2,52 kDa protein,1,15,9,1,3,6,1,0,7,3,0
IPI:IPI00926079.1,FADS1,Protein,4,61,86,20,19,71,17,0,62,68,1
IPI:IPI00926087.2,ARMC10,SVH protein isoform e,2,0,0,0,0,2,0,0,0,2,0
IPI:IPI00926103.1,ATIC,Protein,3,9,7,0,0,3,5,0,4,0,0
IPI:IPI00926114.1,CTNNB1,12 kDa protein,1,1,2,0,0,1,0,0,1,9,0
IPI:IPI00926117.1,SLC4A10,125 kDa protein,1,13,5,0,2,1,0,0,7,0,0
IPI:IPI00926133.1,ANO10,19 kDa protein,1,9,7,1,3,5,2,0,3,0,0
IPI:IPI00926151.1,-,18 kDa protein,2,0,2,0,0,6,0,0,0,0,0
IPI:IPI00926154.1,C3orf75,11 kDa protein,3,14,9,1,4,5,2,0,7,3,0
IPI:IPI00926166.1,CLCN2,"cDNA FLJ56826, highly similar to Chloride channel protein 2",1,5,11,0,0,5,2,0,5,0,0
IPI:IPI00926168.1,SLC4A10,125 kDa protein,1,13,5,0,2,1,0,0,7,0,0
IPI:IPI00926175.1,RPL37A,"cDNA FLJ76565, highly similar to Homo sapiens ribosomal protein L37a, mRNA",1,2,0,1,0,0,0,0,0,0,6
IPI:IPI00926177.1,SUMF2,34 kDa protein,2,18,19,0,4,8,0,0,9,0,0
IPI:IPI00926178.1,MTPN,6 kDa protein,1,0,0,0,1,0,0,0,0,0,0
IPI:IPI00926182.1,TOP2B,8 kDa protein,1,0,0,2,0,0,0,0,0,0,0
IPI:IPI00926191.1,PODXL,55 kDa protein,2,8,7,2,1,23,3,64,18,0,0
IPI:IPI00926196.1,HIP1,"cDNA FLJ56396, highly similar to Huntingtin-interacting protein 1",3,17,0,0,0,13,0,19,16,0,0
IPI:IPI00926201.1,TES,Protein,1,0,0,0,1,0,2,0,0,0,0
IPI:IPI00926202.1,RPL15,20 kDa protein,5,191,117,12,130,110,27,95,99,134,37
IPI:IPI00926222.1,RGPD4,33 kDa protein,5,14,13,1,3,11,0,0,13,2,2
IPI:IPI00926232.1,TTLL3,13 kDa protein,1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00926233.1,ALG3,7 kDa protein,1,0,0,0,0,0,0,0,0,0,4
IPI:IPI00926239.1,-,17 kDa protein,1,1,0,0,2,0,0,0,0,0,0
IPI:IPI00926246.1,DNAJB6,8 kDa protein,1,7,4,0,3,1,3,6,4,0,0
IPI:IPI00926250.1,FAM3C,16 kDa protein,1,9,19,0,0,8,0,0,8,0,0
IPI:IPI00926255.1,NFE2L2,27 kDa protein,2,20,25,1,3,13,3,0,11,0,0
IPI:IPI00926258.1,PSMD2,86 kDa protein,13,218,189,26,94,192,76,189,175,84,32
